Current Exploration,Episode Length,frame_number,q_val action 0,q_val action 1,q_val action 2,q_val action 3,q_val action 4,q_val action 5,q_val action 6,q_val action 7,q_val action 8,td loss,training_reward
0.0895886657814096,393.58,6712609,101.490685,101.463585,98.88828,100.047516,100.148,99.75843,101.012184,100.28806,97.9255,629.32404,699.0
0.089402782226762,414.67,6813709,135.95493,135.50583,135.03838,137.35803,137.4084,135.4441,138.99562,135.63339,134.05215,1991.6508,815.5
0.08921890459652707,438.29,6913718,104.23763,103.83149,103.83999,105.403946,104.41033,104.03448,108.26746,101.37004,103.32324,383.273,820.5
0.08903287946884576,462.05,7014895,105.245445,105.49145,104.84271,107.07227,104.43553,104.359985,109.94251,101.65091,105.457924,4867.1772,807.0
0.0888532655771195,447.43,7112585,131.93042,130.80843,131.25877,132.40605,132.82387,130.15337,134.45982,131.77373,130.4652,277.95547,819.0
0.08866350439223698,465.76,7215794,146.0516,144.62352,144.48677,144.18727,145.45117,142.58028,147.84033,145.43127,144.54895,398.4251,943.5
0.08848550480081716,442.3,7312606,146.34883,146.14839,141.75377,145.36752,145.69699,142.92618,149.38672,144.62363,143.31824,436.75333,744.0
0.08829555975485189,442.72,7415915,76.784836,77.35899,75.53186,77.60027,75.55306,75.65784,81.03271,72.80327,75.48127,462.3647,772.0
0.0881104484167518,438.36,7516595,59.90169,60.568428,59.847397,61.971058,60.121864,59.837147,63.95517,57.533794,59.91985,430.91684,867.5
0.08792777139938714,411.73,7615951,63.222076,63.507523,62.94127,63.182907,62.995594,62.390015,65.22133,62.197548,62.05346,809.4888,710.0
0.08774334218590399,456.37,7716260,83.76863,84.5293,81.847275,83.15027,82.5314,83.01458,88.39459,80.05025,81.91386,1687.1469,857.0
0.08755966864147088,462.49,7816158,125.370255,126.30614,123.37717,124.50132,124.65863,124.22119,129.38156,120.922005,122.99165,2231.684,900.5
0.08738028641470888,465.98,7913722,72.86632,72.890434,71.08776,73.571335,71.671394,71.75684,75.56786,67.17864,71.23485,734.42194,857.5
