Current Exploration,Episode Length,frame_number,q_val action 0,q_val action 1,q_val action 10,q_val action 11,q_val action 12,q_val action 13,q_val action 2,q_val action 3,q_val action 4,q_val action 5,q_val action 6,q_val action 7,q_val action 8,q_val action 9,td loss,training_reward
0.08624225985699693,561.76,8532682,4.8101344,4.9034367,4.9818034,4.946728,4.930469,4.9110665,4.87418,4.938842,4.895761,4.8485894,4.750904,4.904721,4.8180146,4.805905,7.704008,352.5
0.08605628437180797,651.12,8633832,4.5372396,4.6276007,4.6517296,4.56409,4.642641,4.6706743,4.7432547,4.6478844,4.7415314,4.739634,4.609487,4.5022,4.7229815,4.859195,23.606268,488.7
0.08587481899897856,678.38,8732529,5.0181627,5.0744557,5.0178666,5.094556,4.9885316,5.1347966,5.0747166,5.081932,5.033542,5.0826526,5.174069,5.0549874,5.080875,5.0789413,2.027419,438.6
0.08568820919305414,727.34,8834024,5.2658978,5.2776194,5.3029866,5.3275037,5.3853416,5.363593,5.291961,5.4037123,5.321376,5.2944875,5.3110585,5.2952814,5.270296,5.43143,12.87377,521.0
0.0854975011235955,726.98,8937748,5.752378,5.758382,5.708224,5.796845,5.8312907,5.733254,5.7454143,5.7351437,5.8037243,5.9194393,5.743158,5.8395367,5.7397933,5.7463675,3.492354,464.6
0.08532434811031665,678.05,9031924,5.2552137,5.217918,5.1915092,5.1249886,5.208082,5.360363,5.059934,5.1356177,5.317865,5.0047774,5.2319922,5.2979045,5.2088633,5.083713,5.2761173,447.0
0.08513179775280899,724.91,9136650,4.8713493,4.9501433,4.985626,4.9919605,4.9922657,4.9475822,4.912474,4.9637537,4.945012,4.9765253,5.0003686,4.9467816,4.969345,5.008232,5.4092107,443.3
0.08494500408580184,726.56,9238245,5.1065235,5.0409617,5.0074124,5.140037,4.995185,5.0082736,4.9264083,5.0756803,4.9588523,5.1126256,5.073325,5.016789,5.057605,5.0341573,12.607631,460.9
0.08476837425944841,711.11,9334312,5.107426,5.0645323,5.0940027,5.169602,5.1805224,5.209658,5.1721315,5.1637964,5.167787,5.218473,5.1662316,5.1047144,5.1133394,5.1228657,3.7687767,468.1
0.08457977139938713,685.17,9436891,4.4765506,4.4606524,4.417348,4.4815154,4.432413,4.3348,4.4036674,4.446204,4.5563073,4.4432716,4.3854494,4.371757,4.453613,4.435622,4.1666217,479.1
0.08439044780388151,694.71,9539862,4.693857,4.6269937,4.6860156,4.7222743,4.5917573,4.827283,4.7274585,4.661454,4.6714516,4.69047,4.595138,4.673614,4.688227,4.672009,2.5696082,403.1
0.08420539713993871,597.94,9640509,4.0690985,4.2423573,4.187422,4.2208486,4.349522,4.0471506,3.9829752,4.130599,4.2733717,4.166235,4.162944,4.181735,4.1550517,4.3135934,4.753896,445.7
0.08402073993871298,636.68,9740942,3.9423008,3.9637375,3.9996092,4.029471,3.9402955,3.9644284,3.8929074,3.9039528,3.994956,4.0486026,3.9903376,3.9623835,3.9471135,3.9983778,4.28715,438.6
0.08384154892747701,618.87,9838402,3.4516792,3.5038753,3.559291,3.4304109,3.6245263,3.5553684,3.2462108,3.544799,3.3534813,3.6681056,3.4413912,3.5042236,3.4850035,3.527953,4.9106374,437.9
0.08366048253319713,679.84,9936882,3.8398008,3.6942427,3.6848314,3.764414,3.779034,3.7107224,3.6218796,3.7634025,3.709889,3.6740894,3.6739662,3.7550411,3.7547615,3.7318904,5.4639482,452.0
0.08346656792645557,623.39,10042350,4.060301,3.9832547,4.106263,4.0962586,3.9915826,4.0307994,4.048642,3.9626465,3.9378161,4.0574455,3.9137604,4.031778,4.0152993,4.016198,16.90612,488.0
0.08329337630234934,685.12,10136547,4.5143147,4.4646463,4.6165237,4.5118427,4.539642,4.5468016,4.5487013,4.5207834,4.467809,4.452552,4.500741,4.512097,4.549953,4.4797873,5.206486,460.7
0.08309894320735445,627.46,10242297,4.9508095,4.8974705,4.9111567,4.9518285,4.86022,4.980562,5.0800695,4.9302225,4.798785,5.0835843,4.990035,4.8832855,4.885208,4.843759,6.69914,464.0
0.08292049315628192,670.76,10339354,4.363233,4.304338,4.335161,4.3006897,4.330818,4.3883944,4.386601,4.4206004,4.3419166,4.4083276,4.4438024,4.358029,4.417218,4.3929024,6.566527,500.9
0.08272929785495403,709.73,10443343,4.028009,3.9549925,4.0970035,3.977991,3.877258,4.091977,4.0638895,4.147892,3.9134495,4.056611,3.9518418,4.094065,4.0983996,3.9535644,4.604818,509.7
0.0825539826353422,657.27,10538695,4.6482983,4.535807,4.6015778,4.5612206,4.6730094,4.6292686,4.5704184,4.550718,4.5915422,4.5717616,4.598765,4.6020985,4.545895,4.595134,4.4692817,415.4
0.08235850520939735,671.8,10645013,4.907421,4.9062533,4.947316,5.0584874,4.93995,5.0277953,4.8348413,4.8841863,4.910772,4.9060245,4.9567347,5.0445113,5.237141,5.085804,17.540306,433.4
0.08217886925434116,680.74,10742715,5.286083,5.338797,5.301569,5.3495107,5.2686462,5.326834,5.261676,5.2663145,5.2314157,5.2558174,5.2995515,5.3014097,5.2802444,5.225233,2.9517918,417.5
0.08199600837589377,657.26,10842171,4.6210504,4.7476883,4.722441,4.7148333,4.696813,4.64231,4.755168,4.7084975,4.6513643,4.7682014,4.755784,4.7796345,4.783682,4.7401114,6.7326813,455.8
0.081804726659857,647.61,10946207,3.674798,4.0101547,3.765741,3.7686157,3.8282475,3.809169,3.7754405,3.7071443,3.7704153,3.641324,3.652553,3.8260467,3.7151098,3.7221684,5.8412867,466.4
0.0816166202247191,637.93,11048516,3.7799344,4.1420765,4.030716,3.965239,3.8990555,4.0081086,4.1073895,4.0402083,4.0117226,3.9843605,3.8506951,3.8995357,4.1652412,3.9939587,3.6817136,456.6
0.08143947007150154,667.02,11144866,4.4609075,4.4710827,4.506688,4.541204,4.3982162,4.5227356,4.486484,4.3367286,4.4495225,4.268686,4.4389567,4.4976544,4.3495507,4.2451715,5.4929295,492.4
0.08124780408580184,752.35,11249111,4.624667,4.549622,4.693168,4.5602846,4.5280037,4.475387,4.659281,4.4074717,4.61851,4.5909305,4.5517397,4.514745,4.944535,4.7120404,10.147469,532.8
0.08106329213483146,741.51,11349465,4.5295954,4.431792,4.46973,4.554151,4.364351,4.460165,4.49212,4.552443,4.462217,4.612319,4.4461265,4.4745717,4.5154476,4.4811025,2.9519749,481.7
0.0808819848825332,658.09,11448076,4.632658,4.7430143,4.6759844,4.696398,4.688024,4.719282,4.822886,4.8015656,4.715323,4.7657785,4.865733,4.77218,4.6600394,4.689667,8.829302,471.8
0.08069462308478038,704.79,11549980,4.6077504,4.5404882,4.598848,4.6063776,4.635353,4.688651,4.644167,4.625171,4.51335,4.662766,4.5062895,4.6040792,4.6795435,4.620897,13.480164,454.8
0.08050936098059244,696.44,11650742,4.770752,4.9633737,4.8448377,4.887585,4.794139,4.999393,4.7638893,4.7785134,4.81419,4.754624,4.814298,4.8193083,5.0425086,4.6925745,3.5983286,455.7
0.08033260429009192,701.77,11746878,4.968124,4.92489,4.92871,4.921746,4.9721146,4.877564,4.908689,4.8767858,4.9517255,5.0473375,4.9375715,4.9290323,4.971306,4.9217253,6.3402605,462.7
0.08014113871297242,670.99,11851014,5.070746,4.9737577,5.096654,5.0327415,5.012642,5.0502152,5.069968,5.037241,5.1186094,5.047768,4.966828,5.1328316,4.917569,5.0059223,9.273121,444.6
0.0799673164453524,823.76,11945554,5.0489173,5.06652,4.9632263,5.0566535,5.0643353,5.0051274,4.9825463,5.0692983,4.965048,4.8130884,5.1652727,5.030179,5.096673,5.053874,8.368823,557.9
0.07977756813074566,639.1,12048756,4.9094925,4.8612947,4.875016,4.9218774,4.882395,4.9578385,4.9067273,4.8602066,5.005666,4.84462,4.8884997,4.93115,4.863096,4.8967514,2.489247,422.0
0.07959984984678244,644.13,12145415,4.8519382,4.8685107,4.8540373,4.8518176,4.8590827,4.869543,4.853841,4.8299265,4.8789444,4.8881674,4.7249126,4.816325,4.8501296,5.037495,6.5513115,420.5
