Current Exploration,Episode Length,TD Loss,frame_number,q_val action 0,q_val action 1,q_val action 10,q_val action 11,q_val action 12,q_val action 13,q_val action 2,q_val action 3,q_val action 4,q_val action 5,q_val action 6,q_val action 7,q_val action 8,q_val action 9,training_reward
0.08937646802860061,776.49,0.4730712,6828021,1.2649297,1.2652061,1.2685676,1.2669514,1.2669646,1.2691152,1.2670496,1.2666587,1.266995,1.2631639,1.2688584,1.2639804,1.2672749,1.2671273,452.1
0.0891858960163432,642.91,0.66169983,6931671,1.3774385,1.3696569,1.3729306,1.3722234,1.3674192,1.3737675,1.3706471,1.367708,1.3682847,1.3613477,1.3714836,1.3729231,1.374517,1.3726135,403.2
0.08900406108273749,653.28,0.8407572,7030569,1.3126119,1.3139946,1.3164296,1.3083541,1.3095024,1.3120236,1.3165339,1.3134173,1.311009,1.3094596,1.314245,1.3164802,1.3182966,1.317714,433.9
0.08881424473953013,720.14,0.41347125,7133808,1.2878958,1.2912484,1.2843155,1.2744904,1.2889268,1.2852578,1.2774034,1.2847104,1.2846191,1.279854,1.2806621,1.2823411,1.2880228,1.2785941,438.9
0.08863318018386108,660.65,0.8235283,7232287,1.1700472,1.1787113,1.1738178,1.1678056,1.1682792,1.1691339,1.165583,1.174249,1.1781654,1.1668901,1.1718105,1.1726799,1.1721758,1.1767662,408.7
0.08845828232890705,713.9,0.40089563,7327412,1.1068599,1.1102753,1.1096504,1.1013542,1.1133026,1.1089114,1.1084017,1.117176,1.1138104,1.1120428,1.11152,1.1110543,1.1121032,1.1149768,448.8
0.08826795117466803,617.17,0.40636584,7430931,1.1478505,1.1472887,1.1499698,1.1359884,1.1442118,1.147247,1.1486651,1.1483612,1.1470615,1.1438475,1.1428977,1.1449506,1.1462507,1.1509036,385.7
0.08808313033707865,593.09,0.5261069,7531453,1.1935707,1.1930676,1.1959169,1.1947098,1.1971296,1.1969082,1.1986591,1.1952982,1.1911517,1.190437,1.1890604,1.1981674,1.2025371,1.1948757,406.1
0.0878967595505618,658.71,0.43344352,7632818,1.1677785,1.1664515,1.1700438,1.1635207,1.1654352,1.1691983,1.1686015,1.1688323,1.1706624,1.1604829,1.1630656,1.1689396,1.1700729,1.1719353,414.1
0.08771453850868233,695.73,0.66424775,7731926,1.2988545,1.2900369,1.293224,1.2915882,1.2923467,1.2950583,1.2855929,1.2870439,1.2921526,1.2878208,1.2947851,1.2891355,1.292988,1.2923814,464.3
0.08752437099080695,637.2,0.8039938,7835356,1.2652665,1.2670716,1.2671127,1.262083,1.2688215,1.264701,1.2713476,1.2683445,1.266188,1.263626,1.2710122,1.2707416,1.2747726,1.2684276,414.6
0.08733768947906026,703.93,0.6034273,7936890,1.3471577,1.3459103,1.3509407,1.34029,1.3491285,1.3509362,1.3485955,1.3446351,1.3462121,1.3423089,1.3498434,1.3520988,1.3529371,1.352622,439.2
0.08716416690500511,678.11,0.85063875,8031267,1.4298034,1.4317757,1.4303546,1.4162898,1.4330233,1.431793,1.4333622,1.4258497,1.4288381,1.4230762,1.4283757,1.4280171,1.4384012,1.4314578,416.0
0.0869795722165475,753.03,0.543486,8131666,1.559386,1.5604217,1.5642984,1.5510296,1.5603524,1.5673954,1.5721035,1.5610498,1.5649024,1.5571625,1.564435,1.5707957,1.5671297,1.5712471,462.5
0.0867947090909091,717.69,0.7165803,8232211,1.4568543,1.4573344,1.455666,1.4471681,1.4547901,1.4570045,1.4498587,1.4509345,1.4526297,1.4485389,1.4522022,1.4516357,1.4569871,1.4564198,418.1
0.0866007264555669,686.28,0.5494629,8337716,1.4411837,1.4410294,1.4399669,1.4336156,1.4376246,1.4488701,1.4479027,1.4349943,1.4404466,1.4333272,1.436385,1.4425523,1.4384549,1.4425244,427.8
0.08641546802860062,657.22,0.59471923,8438476,1.3974357,1.403405,1.3955575,1.385616,1.3935661,1.3988347,1.3973985,1.3961661,1.3991194,1.3922892,1.4003751,1.3942695,1.4010568,1.3951745,382.4
0.08623294545454546,632.44,0.48819122,8537748,1.378384,1.3844814,1.3804537,1.3761964,1.3830723,1.3814108,1.3820745,1.380776,1.3847352,1.3805315,1.3895856,1.3829405,1.3741204,1.3818271,370.1
0.08605232216547498,726.74,0.4023025,8635987,1.3719964,1.3690664,1.3735565,1.3676957,1.373189,1.3709502,1.3748467,1.3678712,1.3709322,1.3640757,1.379392,1.3701396,1.3714101,1.3710405,424.1
0.08586846108273749,696.49,0.5916122,8735987,1.3789544,1.369421,1.3701916,1.3654149,1.370918,1.3681659,1.3737403,1.3709068,1.3722811,1.3743428,1.3718237,1.3729522,1.3726239,1.3751882,412.4
0.08567371542390194,727.88,0.7444771,8841907,1.431474,1.4339592,1.4367368,1.4223315,1.4331757,1.4342786,1.4346421,1.430423,1.4336134,1.4234644,1.4367726,1.429312,1.4362032,1.4349136,436.4
0.08549124984678243,715.71,0.5872518,8941148,1.2676003,1.2694196,1.2684065,1.2719477,1.268427,1.273272,1.272233,1.2685908,1.2682346,1.2554903,1.2659417,1.2735999,1.2697517,1.2687315,419.1
0.08530964106230848,658.54,0.6739534,9039923,1.2567896,1.2650981,1.2653888,1.2587316,1.2636964,1.2625364,1.2685565,1.2576913,1.2639364,1.2437452,1.2699907,1.2621837,1.2678597,1.261056,373.9
0.08512288232890705,673.32,0.6258526,9141499,1.3422806,1.3400327,1.3430859,1.337738,1.3461672,1.3444575,1.3438683,1.342938,1.3491234,1.3350991,1.3493314,1.3429407,1.3482448,1.3432273,412.9
0.08494292461695607,693.46,0.55338067,9239376,1.2030761,1.2030243,1.2036576,1.201252,1.2048395,1.206264,1.2067826,1.205485,1.2030711,1.1998463,1.202182,1.2084291,1.2074366,1.203007,390.9
0.08475668253319714,684.33,0.7288502,9340671,1.298417,1.3032566,1.2983879,1.2965975,1.2990023,1.3014815,1.3021599,1.2994846,1.3003656,1.2930768,1.2989799,1.3037807,1.3077878,1.298767,386.7
0.08457094239019408,722.97,0.6103537,9441693,1.2773083,1.2671019,1.2716655,1.2657399,1.2733086,1.2692827,1.2644017,1.2606218,1.2604195,1.2590337,1.2718089,1.2656252,1.2700411,1.2641121,427.5
0.08438734790602656,669.84,0.75827426,9541548,1.2050242,1.2105507,1.2081909,1.1979386,1.205645,1.2105529,1.217231,1.2055176,1.2080985,1.2022328,1.2046417,1.2113131,1.208801,1.2066445,370.7
0.08420616016343208,713.65,0.7249401,9640094,1.1721833,1.1727445,1.1691438,1.1675521,1.1735544,1.1706623,1.1705049,1.1666018,1.1698037,1.1625743,1.1680659,1.1719669,1.1748283,1.1711216,425.6
0.08401797650663943,676.34,0.5626069,9742445,1.2142118,1.2206981,1.2212145,1.2142403,1.21887,1.2208793,1.2251519,1.2176781,1.219463,1.2242663,1.2175534,1.2221177,1.2193993,1.2213708,382.1
0.08383282839632278,682.47,0.4634579,9843145,1.2370484,1.242703,1.2428755,1.2386411,1.2416829,1.2364894,1.2397392,1.236811,1.2380366,1.2388556,1.2372509,1.2366996,1.2363119,1.2355062,389.9
0.08364347354443309,686.46,0.40392062,9946133,1.1837156,1.175212,1.1840924,1.182106,1.1894488,1.1786523,1.1815029,1.180436,1.173665,1.1795652,1.182793,1.1819494,1.1824472,1.1827196,430.6
0.08346181327885598,631.21,0.5828967,10044936,1.2271763,1.2276566,1.2288526,1.2276657,1.2323016,1.2284032,1.2232817,1.226509,1.2277226,1.2266599,1.2237307,1.2279077,1.2267213,1.2277136,363.4
0.08327594811031665,718.6,0.529422,10146026,1.325273,1.3251344,1.325522,1.320738,1.3272538,1.3281802,1.326299,1.3286966,1.3255863,1.3207223,1.3245912,1.3259782,1.3295038,1.3260498,416.2
0.08309467946884576,698.37,0.68434507,10244616,1.2290776,1.2279676,1.2308002,1.224078,1.2319936,1.2293587,1.2315999,1.2341181,1.2311158,1.227896,1.2323765,1.2279757,1.2282736,1.2283106,394.7
0.0829160326864147,681.45,0.5382674,10341780,1.3303527,1.3253195,1.3373418,1.3231356,1.3305761,1.3290163,1.3273613,1.326182,1.3227924,1.3230543,1.33,1.3304863,1.3350762,1.3294606,396.7
0.0827289797752809,684.28,0.6028653,10443516,1.2690439,1.2699087,1.2731003,1.2657365,1.2725127,1.2720996,1.2722062,1.2769816,1.2706181,1.2622565,1.2748772,1.2762611,1.2776488,1.2735701,383.4
0.0825441037793667,678.49,0.5040321,10544068,1.2881198,1.2962515,1.2975725,1.2692367,1.2922254,1.2961197,1.2969352,1.2879125,1.2921051,1.2885033,1.2993279,1.28909,1.3007182,1.2893753,365.9
0.08235296179775281,678.09,0.5899448,10648028,1.4103101,1.4165115,1.4185051,1.4052486,1.4161723,1.4163522,1.4188492,1.4202298,1.41965,1.4108216,1.4145628,1.4157772,1.413329,1.4157594,408.9
0.08217766128702758,687.82,0.7897207,10743372,1.2452267,1.253179,1.2593434,1.237274,1.2579278,1.2568086,1.2556975,1.2509493,1.2555579,1.251777,1.2526414,1.2531246,1.2709088,1.25942,394.8
0.08198542717058223,673.41,0.6330235,10847926,1.2181697,1.2152462,1.2138233,1.2100838,1.2128042,1.2207814,1.2222123,1.2216393,1.2193557,1.2190644,1.2185119,1.2174457,1.2151268,1.2155478,401.1
0.08179984514811031,675.47,0.627798,10948862,1.157369,1.153972,1.1539885,1.1527414,1.1565874,1.1557462,1.1572398,1.1568112,1.1533983,1.146965,1.1532701,1.1508309,1.1564288,1.1532872,391.8
0.08161534790602656,652.56,0.48478872,11049208,1.273705,1.2653661,1.271226,1.26077,1.2724236,1.266248,1.2774332,1.2685907,1.2657667,1.2801995,1.2731946,1.2658153,1.2846203,1.2638465,376.6
0.08142963350357507,690.43,0.5382732,11150216,1.275818,1.262928,1.2692018,1.2696438,1.2684349,1.27041,1.270995,1.268891,1.2698776,1.2751786,1.2793683,1.2692506,1.2831178,1.268791,394.6
0.08125661470888662,677.0,0.5271986,11244319,1.5582575,1.5509342,1.5517237,1.5533006,1.5608623,1.5602146,1.5590372,1.5627679,1.5574316,1.551391,1.5518445,1.5613728,1.5538061,1.5597212,408.4
0.08107044984678244,670.01,0.5415611,11345572,1.4073755,1.4162024,1.4197603,1.416342,1.4186752,1.417094,1.4189135,1.4123567,1.4211488,1.4171982,1.4174733,1.4167367,1.428276,1.4156384,337.1
0.08087577405515832,647.59,0.52894384,11451454,1.3754283,1.3703113,1.3749208,1.3731341,1.3715664,1.3775539,1.3725033,1.3769037,1.3716912,1.3628608,1.3709984,1.3733335,1.3726897,1.3670783,366.9
0.0806986606741573,636.06,0.4263018,11547784,1.4463861,1.4472872,1.4406717,1.4503205,1.444382,1.4401772,1.447703,1.4439083,1.4451479,1.4324586,1.44143,1.4392409,1.4465922,1.4450542,332.6
0.0805066453524004,654.05,0.50572264,11652219,1.4174167,1.418173,1.4205855,1.4232446,1.4231286,1.4256321,1.4206648,1.4212266,1.4271519,1.4305208,1.4304011,1.4116606,1.4299695,1.4242616,360.8
0.08032755546475996,633.41,0.72272336,11749624,1.5216244,1.5216411,1.5145502,1.5187138,1.5217415,1.5195479,1.5136613,1.518718,1.5167009,1.504608,1.5186839,1.5227045,1.5165942,1.5247635,355.1
